company_name	company_type	company_size	is_listed
北京微酷客科技有限公司	互联网	100-499人	B轮
北京欣乐道科技有限公司	游戏	500-999人	不需要融资
北京木仓科技股份有限公司	移动互联网	100-499人	A轮
北京爱亲科技股份有限公司	广告营销	100-499人	未融资
北京湖源兴科贸有限公司	电子商务	100-499人	B轮
北京正和岛信息科技有限公司	互联网	100-499人	B轮
北京畅游时代数码技术有限公司	移动互联网	1000-9999人	不需要融资
北京字节跳动科技有限公司	移动互联网	10000人以上	D轮及以上
北京穷游天下科技发展有限公司	互联网	100-499人	D轮及以上
北京智者天下科技有限公司	移动互联网	1000-9999人	D轮及以上
北京汽车集团有限公司	汽车生产	1000-9999人	未融资
北京盛凡网知识产权代理有限公司	互联网	500-999人	未融资
北京背篓科技有限公司	电子商务	100-499人	A轮
北京航天朗勤科技有限公司	其他行业	500-999人	无信息
北京新能源汽车股份有限公司	汽车生产	1000-9999人	B轮
北京车之家信息技术有限公司	互联网	1000-9999人	已上市
北京精真估信息技术有限公司	互联网	20-99人	不需要融资
北京趣拿信息技术有限公司	互联网	1000-9999人	不需要融资
北京陌陌科技有限公司	移动互联网	1000-9999人	已上市
北大方正集团有限公司	互联网	10000人以上	已上市
北汽福田汽车股份有限公司	汽车生产	10000人以上	已上市
北京鸿运丰投资管理有限公司	互联网金融	20-99人	不需要融资
华润(深圳)有限公司	生活服务	10000人以上	不需要融资
北标(北京)知识产权代理有限公司	咨询	100-499人	不需要融资
华润雪花啤酒(中国)有限公司	食品/饮料/烟酒	10000人以上	已上市
华为技术有限公司	计算机软件	10000人以上	不需要融资
华熙生物科技有限公司	医疗/护理/卫生	100-499人	不需要融资
南京北标知识产权代理有限公司	咨询	100-499人	不需要融资
南京贝杉国际贸易有限公司	其他服务业	100-499人	未融资
南极电商(上海)有限公司	互联网	500-999人	已上市
南阳市锦龙企业营销策划有限公司	互联网	100-499人	A轮
博奥颐和健康科学技术(北京)有限公司	医疗健康	10000人以上	不需要融资
南京大惠企业发展有限公司	旅游	1000-9999人	无信息
博特伦国际有限公司	广告营销	100-499人	未融资
厦门百鱼电子商务有限公司	贸易/进出口	20-99人	不需要融资
南阳美天文化传媒有限公司	互联网	500-999人	未融资
厦门睿卓商贸有限公司	在线教育	0-20人	未融资
周大福珠宝金行有限公司	生活服务	1000-9999人	不需要融资
北京金山安全软件有限公司	互联网	1000-9999人	已上市
北京鸿坤伟业房地产开发有限公司	工程施工	500-999人	不需要融资
品牌在线管理有限公司	在线教育	1000-9999人	已上市
古点发展有限公司	互联网	100-499人	未融资
品牌联盟投资管理有限公司	媒体	20-99人	A轮
唯品会(中国)有限公司	互联网	10000人以上	已上市
喜临门控股集团有限公司	电子商务	1000-9999人	已上市
喜地山国际实业有限公司	餐饮	20-99人	无信息
咪咕文化科技有限公司	在线教育	20-99人	不需要融资
厦门美柚信息科技有限公司	互联网	500-999人	D轮及以上
四川企之翼企业营销策划有限公司	O2O	0-20人	未融资
四川创越炭材料有限公司	电子商务	20-99人	未融资
喜临门家具股份有限公司	家具/家电/家居	100-499人	已上市
四川省绵阳市丰谷酒业有限责任公司	文化/体育/娱乐	20-99人	未融资
嘉兴万帝电器有限公司	批发/零售	500-999人	不需要融资
四川美信投资有限公司	智能硬件	20-99人	未融资
四川论道创意文化有限公司	学术/科研	20-99人	无信息
北京国美电器有限公司	批发/零售	1000-9999人	已上市
回头客食品集团股份有限公司	生活服务	1000-9999人	未融资
四川长虹电器股份有限公司	其他行业	100-499人	未融资
四川金利多投资集团有限公司	其他行业	500-999人	不需要融资
国美在线电子商务有限公司	互联网	10000人以上	已上市
国家开发银行	信息安全	1000-9999人	不需要融资
大白鲸世界文化发展(大连)有限公司	音乐/视频/阅读	500-999人	未融资
国王网有限公司	文化/体育/娱乐	20-99人	不需要融资
大连万达集团股份有限公司	学前教育	1000-9999人	已上市
壹瓶房地产开发(北京)有限公司	食品/饮料/烟酒	20-99人	不需要融资
天天太美网络科技(北京)有限公司	社交网络	100-499人	A轮
北京木仓科技有限公司	移动互联网	100-499人	A轮
天津市卡西亚进出口贸易有限责任公司	生活服务	20-99人	不需要融资
太原市德得餐饮文化管理有限公司	生活服务	500-999人	未融资
奇点同舟餐饮管理(北京)有限公司	其他行业	500-999人	B轮
奥飞娱乐股份有限公司	音乐/视频/阅读	10000人以上	已上市
好时公司	互联网	0-20人	未融资
宁波吉登电子科技有限公司	贸易/进出口	100-499人	不需要融资
学成世纪(北京)信息技术有限公司	培训机构	1000-9999人	已上市
宁波富德能源有限公司	生活服务	0-20人	无信息
宇龙计算机通信科技(深圳)有限公司	通信/网络设备	1000-9999人	已上市
安徽古井贡酒股份有限公司	食品/饮料/烟酒	10000人以上	不需要融资
安徽新橙堡商贸有限公司	广告/公关/会展	0-20人	未融资
宜兰食品工业股份有限公司	旅游	0-20人	已上市
宿迁市比格商贸有限公司	餐饮	1000-9999人	无信息
富士集團國際有限公司	通信/网络设备	1000-9999人	已上市
宋城演艺发展股份有限公司	文化/体育/娱乐	1000-9999人	已上市
宜昌市鑫鼎实业有限公司	互联网金融	0-20人	未融资
山西春笋电器有限公司	培训机构	20-99人	未融资
峻熙(国际)贸易有限公司	贸易/进出口	100-499人	未融资
北海银湾科技产业股份有限公司	工程施工	1000-9999人	无信息
山东鼎福食品有限公司	房地产开发	20-99人	无信息
厦门美图网科技有限公司	移动互联网	20-99人	B轮
常州爱尔威智能科技有限公司	智能硬件	100-499人	B轮
常熟创淘商贸有限公司	电子商务	100-499人	不需要融资
峨眉山旅游股份有限公司	房地产开发	20-99人	无信息
平安银行股份有限公司	互联网金融	1000-9999人	已上市
广东伊莱特电器有限公司	物流/仓储	20-99人	不需要融资
山东禹王实业有限公司	广告营销	20-99人	未融资
宁波御坊堂生物科技有限公司	医疗健康	100-499人	不需要融资
广东国馆酒业有限公司	音乐/视频/阅读	20-99人	未融资
广东小天才科技有限公司	电子商务	500-999人	未融资
小米科技有限责任公司	互联网	10000人以上	已上市
广东中凯文化发展有限公司	互联网金融	100-499人	不需要融资
广东海德集团有限公司	院校	500-999人	不需要融资
广东欧珀移动通信有限公司	通信/网络设备	10000人以上	不需要融资
广东艾诗凯奇投资控股集团有限公司	电子商务	500-999人	不需要融资
广州北标知识产权代理有限公司	咨询	100-499人	不需要融资
广东长隆集团有限公司	旅游	10000人以上	不需要融资
广州博冠信息科技有限公司	游戏	10000人以上	已上市
广东统用卫浴设备有限公司	工程施工	500-999人	已上市
广州华多网络科技有限公司	移动互联网	1000-9999人	已上市
广州四三九九信息科技有限公司	游戏	1000-9999人	不需要融资
广州凤鸣信息科技有限公司	原材料及加工/模具	100-499人	不需要融资
广州亚舟皮具实业有限公司	人力资源服务	100-499人	未融资
广州引领者商贸有限公司	学前教育	20-99人	不需要融资
广州市艾依格家居制品有限公司	家具/家电/家居	1000-9999人	未融资
广州掌沃企业管理咨询有限公司	游戏	20-99人	未融资
广州涌智信息科技有限公司	互联网	500-999人	D轮及以上
广东道和投资产业集团有限公司	广告/公关/会展	20-99人	未融资
广州视源电子科技股份有限公司	其他行业	1000-9999人	已上市
广州百田信息科技有限公司	游戏	500-999人	已上市
广州超级周末科技有限公司	互联网	100-499人	不需要融资
广州酷狗计算机科技有限公司	互联网	1000-9999人	已上市
徐州盛凡网络科技有限公司	电子商务	100-499人	不需要融资
广州百嘉信集团有限公司	信息安全	0-20人	未融资
志邦家居股份有限公司	建材	1000-9999人	已上市
恒大地产集团有限公司	工程施工	10000人以上	已上市
广州龙飞软件科技有限公司	智能硬件	20-99人	已上市
恩诺集团(中国)有限公司	互联网金融	100-499人	不需要融资
悦康药业集团有限公司	医疗健康	1000-9999人	无信息
惠州亿纬锂能股份有限公司	新能源	1000-9999人	已上市
恒彩国际有限公司	工程施工	100-499人	未融资
恒大饮品集团有限公司	生活服务	10000人以上	已上市
广州欣阳文化发展有限公司	医疗健康	100-499人	已上市
成都建工集团旅游有限公司	工程施工	500-999人	未融资
成都泰聚泰科技有限公司	银行	20-99人	不需要融资
扬州十二粉黛生物科技股份有限公司	电子商务	100-499人	未融资
招商局集团有限公司	互联网	500-999人	不需要融资
摩高品牌有限公司	互联网	0-20人	未融资
户外运动品牌有限公司	旅游	0-20人	无信息
新奥集团股份有限公司	互联网	10000人以上	已上市
文化传信有限公司	广告/公关/会展	100-499人	不需要融资
新天地國際服飾有限公司	广告/公关/会展	20-99人	未融资
新希望集团有限公司	互联网金融	100-499人	不需要融资
方家铺子(莆田)绿色食品有限公司	其他行业	100-499人	未融资
昆明百货大楼(集团)珠宝经营有限公司	生活服务	10000人以上	已上市
恒大集团有限公司	工程施工	1000-9999人	已上市
星巴克公司	生活服务	1000-9999人	已上市
康品贸易有限公司	医疗健康	0-20人	不需要融资
晋城银行股份有限公司	银行	1000-9999人	已上市
望洲集团有限公司	酒店	20-99人	未融资
昆尚(北京)文化交流有限公司	媒体	100-499人	B轮
明大企业集团有限公司	广告/公关/会展	0-20人	无信息
杭州心界科技有限公司	旅游	0-20人	无信息
杭州有赞科技有限公司	互联网	1000-9999人	已上市
杭州电魂网络科技股份有限公司	游戏	500-999人	不需要融资
杭州郝姆斯食品有限公司	电子商务	1000-9999人	已上市
桀骜股份有限公司	电子商务	0-20人	未融资
欧度控股有限公司	计算机软件	0-20人	未融资
欧普照明股份有限公司	O2O	10000人以上	已上市
歌德盈香股份有限公司	互联网	500-999人	D轮及以上
有道投资贸易有限公司	互联网	100-499人	C轮
正大天晴药业集团股份有限公司	医疗健康	1000-9999人	已上市
梅州客博汇文化旅游产品开发有限公司	餐饮	100-499人	无信息
民商投资控股集团股份有限公司	互联网	500-999人	A轮
永泰房地产(集团)有限公司	学术/科研	100-499人	天使轮
欧派时尚中国有限公司	电子商务	100-499人	未融资
汉唐品牌投资管理有限公司	互联网	100-499人	A轮
汕头市淘店网络科技有限公司	电子商务	0-20人	未融资
汕头市联合创丽化妆品有限公司	智能硬件	20-99人	未融资
步步高有限公司	新零售	100-499人	未融资
汕头市集美日用品有限公司	工程施工	10000人以上	未融资
宝洁公司	4S店/后市场	20-99人	不需要融资
汕头市初雨化妆品有限公司	广告/公关/会展	0-20人	未融资
江西十二生肖实业有限公司	餐饮	20-99人	不需要融资
江西正西实业发展有限公司	机械设备/机电/重工	20-99人	不需要融资
江西九三三科技发展有限责任公司	音乐/视频/阅读	20-99人	天使轮
河南中沃实业有限公司	食品/饮料/烟酒	1000-9999人	不需要融资
江门市向日葵投资有限公司	在线教育	0-20人	未融资
池州城市经营投资有限公司	移动互联网	100-499人	不需要融资
江苏洋河酒厂股份有限公司	其他行业	10000人以上	无信息
河南双汇投资发展股份有限公司	食品/饮料/烟酒	10000人以上	已上市
汕头市边缘服饰有限公司	非盈利机构	20-99人	无信息
江苏今世缘酒业股份有限公司	音乐/视频/阅读	20-99人	无信息
河南智跑贸易有限公司	计算机软件	20-99人	不需要融资
河南电视台	广播/影视	100-499人	未融资
河南智派品牌策划有限公司	电子商务	0-20人	不需要融资
河南卓恩企业管理咨询有限公司	移动互联网	20-99人	不需要融资
泰康之家(北京)投资有限公司	生活服务	500-999人	未融资
浙江十足商贸有限公司	其他服务业	500-999人	无信息
浙江欧美来纺织科技有限公司	电子商务	100-499人	天使轮
浙江吉利控股集团有限公司	其他服务业	0-20人	天使轮
浙江寿仙谷医药股份有限公司	医疗健康	1000-9999人	已上市
徽商投资有限公司	餐饮	100-499人	未融资
泸州老窖股份有限公司	其他行业	1000-9999人	未融资
海川(中国)有限公司	基金	0-20人	D轮及以上
海汇集团有限公司	计算机软件	100-499人	无信息
海默尼药业股份有限公司	医疗健康	100-499人	不需要融资
淡水河穀集團有限公司	工程施工	20-99人	无信息
淮安西游产业集团有限公司	互联网	20-99人	A轮
深圳华大基因股份有限公司	医疗健康	10000人以上	已上市
深圳华标品牌策划有限公司	咨询	20-99人	不需要融资
深圳京广电子商务有限公司	医疗健康	100-499人	未融资
深圳博广电子商务有限公司	广告营销	20-99人	A轮
深圳华盛商业发展有限公司	工程施工	1000-9999人	已上市
海利尔药业集团股份有限公司	生活服务	1000-9999人	已上市
深圳市万普拉斯科技有限公司	移动互联网	500-999人	未融资
深圳市万源泉投资发展有限公司	移动互联网	20-99人	天使轮
深圳市万益源投资有限公司	批发/零售	20-99人	不需要融资
时尚品牌管理有限公司	广告营销	0-20人	未融资
海普诺凯营养品有限公司	其他行业	1000-9999人	未融资
深圳市乐田文化传播有限公司	互联网	20-99人	A轮
深圳市亿思达科技集团有限公司	电子商务	20-99人	无信息
深圳市华认技术服务有限公司	企业服务	0-20人	无信息
深圳市华商联合投资有限公司	咨询	500-999人	不需要融资
深圳市卓海通贸易有限公司	贸易/进出口	100-499人	未融资
深圳市国富黄金股份有限公司	工艺品/收藏品	1000-9999人	未融资
深圳市创梦天地科技有限公司	游戏	500-999人	已上市
深圳市大潮资本管理有限公司	食品/饮料/烟酒	20-99人	已上市
深圳市安奈儿股份有限公司	服装/纺织/皮革	1000-9999人	已上市
深圳市思迈拓科技有限公司	计算机软件	100-499人	A轮
深圳市旭晖信息咨询有限公司	家具/家电/家居	100-499人	不需要融资
深圳市戴瑞珠宝有限公司	互联网	1000-9999人	未融资
深圳市左右家私有限公司	其他行业	1000-9999人	未融资
深圳市盘古电子商务有限公司	基金	20-99人	不需要融资
深圳市签到电子商务有限公司	餐饮	0-20人	未融资
深圳市牛商网络股份有限公司	互联网	500-999人	已上市
深圳市景田食品饮料有限公司	其他行业	1000-9999人	不需要融资
深圳市鹰硕技术有限公司	互联网	100-499人	不需要融资
泸州老窖集团有限责任公司	其他行业	1000-9999人	未融资
湖北讯华科技股份有限公司	计算机软件	20-99人	无信息
湖北溢德文化传媒有限公司	新能源	20-99人	不需要融资
湖南快乐阳光互动娱乐传媒有限公司	互联网	1000-9999人	已上市
烟台真爱网络科技有限公司	酒店	0-20人	不需要融资
烟台吉斯家具集团有限公司	广告营销	1000-9999人	未融资
烟台韩爱服装有限公司	食品/饮料/烟酒	20-99人	不需要融资
汤臣倍健股份有限公司	互联网	1000-9999人	已上市
爱康网健康科技(北京)有限公司	医疗健康	1000-9999人	不需要融资
深圳市荣格科技有限公司	美容/美发	100-499人	无信息
深圳红云资本管理有限公司	互联网	100-499人	B轮
烟台金龙投资有限公司	通信/网络设备	0-20人	无信息
爱国者有限公司	移动互联网	20-99人	天使轮
湖南广播电视台	媒体	100-499人	不需要融资
獐子岛集团股份有限公司	餐饮	0-20人	不需要融资
爱飞客控股有限责任公司	船舶/航空/航天	500-999人	不需要融资
玛吉恩国际有限公司	旅游	20-99人	无信息
珠海格力电器股份有限公司	其他行业	100-499人	不需要融资
瓦库(北京)科技有限公司	餐饮	20-99人	不需要融资
深圳市同洲电子股份有限公司	计算机软件	500-999人	已上市
甘肃安泊尔投资有限公司	工程施工	100-499人	不需要融资
